IsDivert,SalesDocument/GroupingIndicator,LoadNumber,DefaultDC,RecommendedDC,MaterialNumber,DefaultPGI,ExpectedPGI,RequestedDeliveryDate,DivertedDCCasesFilled,OrderedQty_Cases,ProductCasesPerPallet,Order_Revenue,Report_Run_Date
Default,5478570251,U108963026,5620,5620,12380800,2024-06-30,2024-07-01,2024-07-01,2348.0,6930,220.0,75503,2026-08-07
Default,5483184998,U108966272,5420,5420,11005550,2024-07-02,2024-07-03,2024-07-03,240.0,240,240.0,5849,2026-08-07
Default,5483184998,U108966272,5420,5420,11296085,2024-07-02,2024-07-03,2024-07-03,1360.0,1360,136.0,26647,2026-08-07
Default,5483184998,U108966272,5420,5420,12026301,2024-07-02,2024-07-03,2024-07-03,315.0,315,315.0,2860,2026-08-07
Default,5483184998,U108966272,5420,5420,12178048,2024-07-02,2024-07-03,2024-07-03,210.0,210,70.0,4447,2026-08-07
Default,5483184998,U108966272,5420,5420,12314208,2024-07-02,2024-07-03,2024-07-03,720.0,720,240.0,17540,2026-08-07
Default,5483184998,U108966272,5420,5420,12343365,2024-07-02,2024-07-03,2024-07-03,1620.0,1620,270.0,29031,2026-08-07
Default,5483184998,U108966272,5420,5420,12453733,2024-07-02,2024-07-03,2024-07-03,378.0,378,378.0,2890,2026-08-07
Default,5483184998,U108966272,5420,5420,12475557,2024-07-02,2024-07-03,2024-07-03,128.0,128,128.0,4151,2026-08-07
Default,5483184998,U108966272,5420,5420,12581341,2024-07-02,2024-07-03,2024-07-03,693.0,693,231.0,7285,2026-08-07
Non-Default,5483202182,U108955079,5410,5490,11005550,2024-06-25,2024-06-27,2024-06-27,60.0,60,240.0,1491,2026-08-07
Non-Default,5483202182,U108955079,5410,5490,12026301,2024-06-25,2024-06-27,2024-06-27,495.0,495,315.0,4553,2026-08-07
Non-Default,5483202182,U108955079,5410,5490,12052839,2024-06-25,2024-06-27,2024-06-27,480.0,480,72.0,14508,2026-08-07
Non-Default,5483202182,U108955079,5410,5490,12077472,2024-06-25,2024-06-27,2024-06-27,150.0,150,200.0,3727,2026-08-07
Non-Default,5483202182,U108955079,5410,5490,12077486,2024-06-25,2024-06-27,2024-06-27,125.0,125,200.0,3106,2026-08-07
Non-Default,5483202182,U108955079,5410,5490,12078769,2024-06-25,2024-06-27,2024-06-27,100.0,100,200.0,2485,2026-08-07
Non-Default,5483202182,U108955079,5410,5490,12178048,2024-06-25,2024-06-27,2024-06-27,252.0,252,70.0,5464,2026-08-07
Non-Default,5483202182,U108955079,5410,5490,12314208,2024-06-25,2024-06-27,2024-06-27,90.0,90,240.0,2218,2026-08-07
Non-Default,5483202182,U108955079,5410,5490,12343393,2024-06-25,2024-06-27,2024-06-27,286.0,286,156.0,3052,2026-08-07
Non-Default,5483202182,U108955079,5410,5490,12453342,2024-06-25,2024-06-27,2024-06-27,60.0,60,378.0,465,2026-08-07
Non-Default,5483202182,U108955079,5410,5490,12453733,2024-06-25,2024-06-27,2024-06-27,432.0,432,378.0,3354,2026-08-07
Non-Default,5483202182,U108955079,5410,5490,12514805,2024-06-25,2024-06-27,2024-06-27,34.0,34,324.0,503,2026-08-07
Non-Default,5483202182,U108955079,5410,5490,12564829,2024-06-25,2024-06-27,2024-06-27,153.0,153,136.0,3034,2026-08-07
Non-Default,5483230527,U108952002,5410,5420,11005550,2024-06-25,2024-06-26,2024-06-26,120.0,120,240.0,2924,2026-08-07
Non-Default,5483230527,U108952002,5410,5420,12026301,2024-06-25,2024-06-26,2024-06-26,270.0,270,315.0,2451,2026-08-07
Non-Default,5483230527,U108952002,5410,5420,12077472,2024-06-25,2024-06-26,2024-06-26,125.0,125,200.0,3076,2026-08-07
Non-Default,5483230527,U108952002,5410,5420,12077486,2024-06-25,2024-06-26,2024-06-26,175.0,175,200.0,4306,2026-08-07
Non-Default,5483230527,U108952002,5410,5420,12078769,2024-06-25,2024-06-26,2024-06-26,125.0,125,200.0,3076,2026-08-07
Non-Default,5483230527,U108952002,5410,5420,12178048,2024-06-25,2024-06-26,2024-06-26,210.0,210,70.0,4447,2026-08-07
Non-Default,5483230527,U108952002,5410,5420,12314208,2024-06-25,2024-06-26,2024-06-26,240.0,240,240.0,5846,2026-08-07
Non-Default,5483230527,U108952002,5410,5420,12343365,2024-06-25,2024-06-26,2024-06-26,1302.0,1302,270.0,35483,2026-08-07
Non-Default,5483230527,U108952002,5410,5420,12343393,2024-06-25,2024-06-26,2024-06-26,182.0,182,156.0,1913,2026-08-07
Non-Default,5483230527,U108952002,5410,5420,12453342,2024-06-25,2024-06-26,2024-06-26,156.0,156,378.0,1192,2026-08-07
Non-Default,5483230527,U108952002,5410,5420,12453733,2024-06-25,2024-06-26,2024-06-26,216.0,216,378.0,1651,2026-08-07
Non-Default,5483230527,U108952002,5410,5420,12514805,2024-06-25,2024-06-26,2024-06-26,51.0,51,324.0,743,2026-08-07
Non-Default,5483230527,U108952002,5410,5420,12514806,2024-06-25,2024-06-26,2024-06-26,93.0,93,126.0,3735,2026-08-07
Non-Default,5483230527,U108952002,5410,5420,12564829,2024-06-25,2024-06-26,2024-06-26,136.0,136,136.0,2664,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12026301,2024-06-24,2024-06-25,2024-06-25,225.0,225,315.0,2056,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12052839,2024-06-24,2024-06-25,2024-06-25,324.0,324,72.0,9657,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12077472,2024-06-24,2024-06-25,2024-06-25,50.0,50,200.0,1233,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12077486,2024-06-24,2024-06-25,2024-06-25,75.0,75,200.0,1850,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12078769,2024-06-24,2024-06-25,2024-06-25,50.0,50,200.0,1233,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12178048,2024-06-24,2024-06-25,2024-06-25,182.0,182,70.0,3865,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12314208,2024-06-24,2024-06-25,2024-06-25,570.0,570,240.0,13920,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12343365,2024-06-24,2024-06-25,2024-06-25,1680.0,1680,270.0,30207,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12343393,2024-06-24,2024-06-25,2024-06-25,182.0,182,156.0,1924,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12343394,2024-06-24,2024-06-25,2024-06-25,130.0,130,156.0,1374,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12453342,2024-06-24,2024-06-25,2024-06-25,120.0,120,378.0,924,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12453733,2024-06-24,2024-06-25,2024-06-25,216.0,216,378.0,1664,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12514805,2024-06-24,2024-06-25,2024-06-25,34.0,34,324.0,497,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12514806,2024-06-24,2024-06-25,2024-06-25,51.0,51,126.0,1403,2026-08-07
Non-Default,5483287940,U108948387,5410,5420,12564829,2024-06-24,2024-06-25,2024-06-25,68.0,68,136.0,1336,2026-08-07
